"Part";"Value";"Device";"Package";"Description";"";
"3.3V";"";"MA03-2";"MA03-2";"PIN HEADER";"";
"5V";"";"MA03-2";"MA03-2";"PIN HEADER";"";
"14/DAC";"";"JP1E";"JP1";"JUMPER";"";
"C1";"0.33uF";"CPOL-EUSANYO_A'";"SANYO-OSCON_A'";"POLARIZED CAPACITOR, European symbol";"";
"C2";"0.1uF";"CPOL-EUSANYO_A'";"SANYO-OSCON_A'";"POLARIZED CAPACITOR, European symbol";"";
"C3";"1000uf";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C4";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"100uf";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";
"C8";"100uf";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";
"C9";"100uf";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";
"C10";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C11";"10uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"D3";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";
"D4";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";
"DRV8825";"POLOLU-DRV8825";"POLOLU-DRV8825";"POLOLU-DRV8825";"";"";
"EXT_5V";"";"JP1E";"JP1";"JUMPER";"";
"EXT_5V1";"";"JP1E";"JP1";"JUMPER";"";
"GND";"";"MA03-2";"MA03-2";"PIN HEADER";"";
"HOLA";"";"JP1E";"JP1";"JUMPER";"";
"HOLB";"";"JP1E";"JP1";"JUMPER";"";
"HOLC";"";"JP1E";"JP1";"JUMPER";"";
"HOLD";"";"JP1E";"JP1";"JUMPER";"";
"IC1";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";
"IC2";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";
"IC4";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"IC5";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"J1";"";"CONN_11";"1X11";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J2";"";"CONN_14";"1X14";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J4";"";"CONN_03LOCK_LONGPADS";"1X03_LOCK_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J7";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle";"";
"J8";"";"CONN_04";"1X04";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J9";"";"CONN_14";"1X14";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"JP1";"";"JP2E";"JP2";"JUMPER";"";
"JP3";"";"JP3Q";"JP3Q";"JUMPER";"";
"JP4";"";"JP2E";"JP2";"JUMPER";"";
"JP5";"";"JP2E";"JP2";"JUMPER";"";
"LED_01";"";"LEDSML0805";"SML0805";"LED";"";
"LED_02";"";"LEDSML0805";"SML0805";"LED";"";
"LED_03";"";"LEDSML0805";"SML0805";"LED";"";
"Q1";"IRF530";"IRF530";"TO220BV";"HEXFET Power MOSFET";"";
"Q2";"IRF530";"IRF530";"TO220BV";"HEXFET Power MOSFET";"";
"R1";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R4";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R5";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"b10k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";
"R8";"b10k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";
"R9";"1M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R10";"10M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R12";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R13";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R14";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R15";"b100k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R16";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R17";"b10k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R18";"270R";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R19";"b10k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R20";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"SOCKET_IN";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SOCKET_IN1";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"STP_CONF";"";"JP2E";"JP2";"JUMPER";"";
"SV1";"";"MA07-1";"MA07-1";"PIN HEADER";"";
"SV2";"";"CONN_12";"1X12";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"TEENSY3.2";"TEENSY_3.1-3.2_ALL_PINS&PADS";"TEENSY_3.1-3.2_ALL_PINS&PADS";"TEENSY_3.0-3.2_ALL_PINS_&_PADS";"Footprint for Teensy 3.1 or 3.2 board using all pads and all through-holes. Pads need a 2x7 0.1" SMD header.";"";
"X1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X2";"";"W237-4";"W237-4";"WAGO SCREW CLAMP";"";
"X3";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X4";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X5";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X6";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X7";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"X8";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
